Year_InState,Residency_InState,Totals_InState,Required Fees_InState,Tuition_InState,Year_Start,Year_OutState,Residency_OutState,Totals_OutState,Required Fees_OutState,Tuition_OutState,Tuition_Gap
1970-71,In-State,484.0,154.0,330.0,1970,1970-71,Out of State,1069.0,154.0,915.0,585.0
1971-72,In-State,537.0,172.0,365.0,1971,1971-72,Out of State,1212.0,172.0,1040.0,675.0
1972-73,In-State,597.0,182.0,415.0,1972,1972-73,Out of State,1372.0,182.0,1190.0,775.0
1973-74,In-State,622.0,207.0,415.0,1973,1973-74,Out of State,1447.0,207.0,1240.0,825.0
1974-75,In-State,644.0,229.0,415.0,1974,1974-75,Out of State,1569.0,229.0,1340.0,925.0
1975-76,In-State,694.0,279.0,415.0,1975,1975-76,Out of State,1619.0,279.0,1340.0,925.0
1976-77,In-State,734.0,279.0,455.0,1976,1976-77,Out of State,1819.0,279.0,1540.0,1085.0
1977-78,In-State,804.0,299.0,505.0,1977,1977-78,Out of State,1939.0,299.0,1640.0,1135.0
1978-79,In-State,849.0,324.0,525.0,1978,1978-79,Out of State,2024.0,324.0,1700.0,1175.0
1979-80,In-State,914.0,359.0,555.0,1979,1979-80,Out of State,2159.0,359.0,1800.0,1245.0
1980-81,In-State,1042.0,377.0,665.0,1980,1980-81,Out of State,2402.0,377.0,2025.0,1360.0
1981-82,In-State,1146.0,396.0,750.0,1981,1981-82,Out of State,2646.0,396.0,2250.0,1500.0
1982-83,In-State,1350.0,424.0,926.0,1982,1982-83,Out of State,3276.0,424.0,2852.0,1926.0
1983-84,In-State,1586.0,434.0,1152.0,1983,1983-84,Out of State,3766.0,434.0,3332.0,2180.0
1984-85,In-State,1826.0,456.0,1370.0,1984,1984-85,Out of State,4336.0,456.0,3880.0,2510.0
1985-86,In-State,2036.0,476.0,1560.0,1985,1985-86,Out of State,4886.0,476.0,4410.0,2850.0
1986-87,In-State,2238.0,492.0,1746.0,1986,1986-87,Out of State,5468.0,492.0,4976.0,3230.0
1987-88,In-State,2366.0,525.0,1841.0,1987,1987-88,Out of State,5796.0,525.0,5271.0,3430.0
1988-89,In-State,2526.0,546.0,1980.0,1988,1988-89,Out of State,6336.0,546.0,5790.0,3810.0
1989-90,In-State,2708.0,568.0,2140.0,1989,1989-90,Out of State,7088.0,568.0,6520.0,4380.0
1990-91,In-State,2966.0,596.0,2370.0,1990,1990-91,Out of State,8136.0,596.0,7540.0,5170.0
1991-92,In-State,3354.0,614.0,2740.0,1991,1991-92,Out of State,9564.0,614.0,8950.0,6210.0
1992-93,In-State,3890.0,676.0,3214.0,1992,1992-93,Out of State,10826.0,676.0,10150.0,6936.0
1993-94,In-State,4350.0,734.0,3616.0,1993,1993-94,Out of State,12254.0,734.0,11520.0,7904.0
1994-95,In-State,35657.0,3977.0,31680.0,1994,1994-95,Out of State,81725.0,4395.0,77330.0,45650.0
1995-96,In-State,38979.0,4133.0,34846.0,1995,1995-96,Out of State,87225.0,4555.0,82670.0,47824.0
1996-97,In-State,42821.0,4289.0,38532.0,1996,1996-97,Out of State,89679.0,4709.0,84970.0,46438.0
1997-98,In-State,47535.0,5033.0,42502.0,1997,1997-98,Out of State,93209.0,5033.0,88176.0,45674.0
1998-99,In-State,51136.0,5379.0,45757.0,1998,1998-99,Out of State,97775.0,5379.0,92396.0,46639.0
1999-00,In-State,54464.0,5611.0,48853.0,1999,1999-00,Out of State,101916.0,5611.0,96305.0,47452.0
2000-01,In-State,57880.0,5765.0,52115.0,2000,2000-01,Out of State,109076.0,5765.0,103311.0,51196.0
2001-02,In-State,65237.0,6145.0,59092.0,2001,2001-02,Out of State,117085.0,6145.0,110940.0,51848.0
2002-03,In-State,76924.0,6565.0,70359.0,2002,2002-03,Out of State,128846.0,6565.0,122281.0,51922.0
2003-04,In-State,88324.0,7095.0,81229.0,2003,2003-04,Out of State,138905.0,7345.0,131560.0,50331.0
2004-05,In-State,98174.0,7565.0,90609.0,2004,2004-05,Out of State,145833.0,7860.0,137973.0,47364.0
2005-06,In-State,106280.0,8034.0,98246.0,2005,2005-06,Out of State,153800.0,8914.0,144886.0,46640.0
2006-07,In-State,114195.0,8724.0,105471.0,2006,2006-07,Out of State,162295.0,9604.0,152691.0,47220.0
2007-08,In-State,122045.0,9506.0,112539.0,2007,2007-08,Out of State,171295.0,10681.0,160614.0,48075.0
2008-09,In-State,131155.0,10806.0,120349.0,2008,2008-09,Out of State,181443.0,11884.0,169559.0,49210.0
2009-10,In-State,139750.0,11026.0,128724.0,2009,2009-10,Out of State,191624.0,13110.0,178514.0,49790.0
2010-11,In-State,149378.0,11506.0,137872.0,2010,2010-11,Out of State,203314.0,14866.0,188448.0,50576.0
2011-12,In-State,159611.0,11826.0,147785.0,2011,2011-12,Out of State,214273.0,15186.0,199087.0,51302.0
2012-13,In-State,166186.0,12068.0,154118.0,2012,2012-13,Out of State,222308.0,15478.0,206830.0,52712.0
2013-14,In-State,172789.0,12448.0,160341.0,2013,2013-14,Out of State,230507.0,15716.0,214791.0,54450.0
2014-15,In-State,182308.0,12718.0,169590.0,2014,2014-15,Out of State,238322.0,16146.0,222176.0,52586.0
2015-16,In-State,190538.0,13028.0,177510.0,2015,2015-16,Out of State,246886.0,16438.0,230448.0,52938.0
2016-17,In-State,197414.0,13418.0,183996.0,2016,2016-17,Out of State,254388.0,16828.0,237560.0,53564.0
2017-18,In-State,202821.0,13756.0,189065.0,2017,2017-18,Out of State,261225.0,17166.0,244059.0,54994.0
2018-19,In-State,209257.0,14306.0,194951.0,2018,2018-19,Out of State,268936.0,17716.0,251220.0,56269.0
2019-20,In-State,214852.0,14906.0,199946.0,2019,2019-20,Out of State,276601.0,18316.0,258285.0,58339.0
2020-21,In-State,221220.0,15688.0,205532.0,2020,2020-21,Out of State,284119.0,19098.0,265021.0,59489.0
2021-22,In-State,224667.0,16280.0,208387.0,2021,2021-22,Out of State,288773.0,19690.0,269083.0,60696.0
2022-23,In-State,232219.0,16908.0,215311.0,2022,2022-23,Out of State,299311.0,20318.0,278993.0,63682.0
2023-24,In-State,241267.0,17590.0,223677.0,2023,2023-24,Out of State,309898.0,20998.0,288900.0,65223.0
