Year,Residency,Totals,Required Fees,Tuition
2023-24,Out-of-State,"$58,014.00","$4,178.00","$53,836.00"
2022-23,Out-of-State,"$55,902.00","$4,032.00","$51,870.00"
2021-22,Out-of-State,"$53,626.00","$3,916.00","$49,710.00"
2020-21,Out-of-State,"$52,831.00","$3,790.00","$49,041.00"
2019-20,Out-of-State,"$50,889.00","$3,632.00","$47,257.00"
2018-19,Out-of-State,"$49,020.00","$3,512.00","$45,508.00"
2017-18,Out-of-State,"$47,261.00","$3,402.00","$43,859.00"
2016-17,Out-of-State,"$45,744.00","$3,336.00","$42,408.00"
2015-16,Out-of-State,"$44,350.00","$3,258.00","$41,092.00"
2014-15,Out-of-State,"$42,494.00","$3,196.00","$39,298.00"
2013-14,Out-of-State,"$40,205.00","$3,124.00","$37,081.00"
2012-13,Out-of-State,"$38,018.00","$3,066.00","$34,952.00"
2011-12,Out-of-State,"$36,570.00","$3,008.00","$33,562.00"
2010-11,Out-of-State,"$33,574.00","$2,944.00","$30,630.00"
2009-10,Out-of-State,"$31,672.00","$2,618.00","$29,054.00"
2008-09,Out-of-State,"$29,553.00","$2,350.00","$27,203.00"
2007-08,Out-of-State,"$27,750.00","$2,107.00","$25,643.00"
2006-07,Out-of-State,"$25,945.00","$1,892.00","$24,053.00"
2005-06,Out-of-State,"$24,100.00","$1,754.00","$22,346.00"
2004-05,Out-of-State,"$22,700.00","$1,528.00","$21,172.00"
2003-04,Out-of-State,"$21,984.00","$1,430.00","$20,554.00"
2002-03,Out-of-State,"$20,190.00","$1,274.00","$18,916.00"
2001-02,Out-of-State,"$18,268.00","$1,190.00","$17,078.00"
2000-01,Out-of-State,"$17,409.00","$1,114.00","$16,295.00"
1999-00,Out-of-State,"$16,603.00","$1,084.00","$15,519.00"
1998-99,Out-of-State,"$15,814.00","$1,034.00","$14,780.00"
1997-98,Out-of-State,"$15,030.00",$954.00,"$14,076.00"
1996-97,Out-of-State,"$14,434.00",$900.00,"$13,534.00"
1995-96,Out-of-State,"$14,008.00",$868.00,"$13,140.00"
1994-95,Out-of-State,"$13,052.00",$840.00,"$12,212.00"
1993-94,Out-of-State,"$12,254.00",$734.00,"$11,520.00"
1992-93,Out-of-State,"$10,826.00",$676.00,"$10,150.00"
1991-92,Out-of-State,"$9,564.00",$614.00,"$8,950.00"
1990-91,Out-of-State,"$8,136.00",$596.00,"$7,540.00"
1989-90,Out-of-State,"$7,088.00",$568.00,"$6,520.00"
1988-89,Out-of-State,"$6,336.00",$546.00,"$5,790.00"
1987-88,Out-of-State,"$5,796.00",$525.00,"$5,271.00"
1986-87,Out-of-State,"$5,468.00",$492.00,"$4,976.00"
1985-86,Out-of-State,"$4,886.00",$476.00,"$4,410.00"
1984-85,Out-of-State,"$4,336.00",$456.00,"$3,880.00"
1983-84,Out-of-State,"$3,766.00",$434.00,"$3,332.00"
1982-83,Out-of-State,"$3,276.00",$424.00,"$2,852.00"
1981-82,Out-of-State,"$2,646.00",$396.00,"$2,250.00"
1980-81,Out-of-State,"$2,402.00",$377.00,"$2,025.00"
1979-80,Out-of-State,"$2,159.00",$359.00,"$1,800.00"
1978-79,Out-of-State,"$2,024.00",$324.00,"$1,700.00"
1977-78,Out-of-State,"$1,939.00",$299.00,"$1,640.00"
1976-77,Out-of-State,"$1,819.00",$279.00,"$1,540.00"
1975-76,Out-of-State,"$1,619.00",$279.00,"$1,340.00"
1974-75,Out-of-State,"$1,569.00",$229.00,"$1,340.00"
1973-74,Out-of-State,"$1,447.00",$207.00,"$1,240.00"
1972-73,Out-of-State,"$1,372.00",$182.00,"$1,190.00"
1971-72,Out-of-State,"$1,212.00",$172.00,"$1,040.00"
1970-71,Out-of-State,"$1,069.00",$154.00,$915.00
